city,state,latitude,longitude,dup
Royal Exchange, NSW,-33.87, 151.210,FALSE
Queen Victoria Building, NSW,-33.87, 151.210,FALSE
Sydney South, NSW,-33.82, 151.040,FALSE
Darlinghurst, NSW,-33.88, 151.220,FALSE
Eastern Suburbs MC, NSW,0, 0.000,FALSE
Potts Point, NSW,-33.82, 151.120,FALSE
Kings Cross, NSW,-35.54, 148.020,FALSE
Woollahra, NSW,0, 0.000,FALSE
Bondi Junction, NSW,-33.89, 151.260,FALSE
Double Bay, NSW,-33.88, 151.240,FALSE
Ato Activity Statements, NSW,0, 0.000,FALSE
Broadway, NSW,-33.88, 151.200,FALSE
Southern Suburbs MC, NSW,0, 0.000,FALSE
Strawberry Hills, NSW,-33.73, 150.930,FALSE
Eveleigh, NSW,-33.89, 151.200,FALSE
Alexandria, NSW,-33.71, 151.110,FALSE
Waterloo, NSW,-33.9, 151.060,FALSE
Camperdown, NSW,-30.31, 153.140,FALSE
Botany, NSW,-33.95, 151.200,FALSE
Mascot, NSW,-33.93, 151.210,FALSE
Kensington, NSW,-33.89, 151.140,FALSE
Unsw Sydney, NSW,-33.91, 151.230,FALSE
Drummoyne, NSW,-33.84, 151.150,FALSE
Marrickville, NSW,-33.91, 151.150,FALSE
Kingsgrove, NSW,-33.94, 151.100,FALSE
Hurstville BC, NSW,0, 0.000,FALSE
Kingsgrove DC, NSW,0, 0.000,FALSE
Kogarah, NSW,0, 0.000,FALSE
Miranda, NSW,-34.04, 151.110,FALSE
Hurstville, NSW,-33.98, 151.090,FALSE
Caringbah, NSW,-34.05, 151.120,FALSE
Sutherland, NSW,-34.02, 151.060,FALSE
West Chatswood, NSW,-33.82, 151.210,FALSE
Northbridge, NSW,0, 0.000,FALSE
Milsons Point, NSW,-33.87, 151.190,FALSE
Artarmon, NSW,-33.81, 151.190,FALSE
Crows Nest, NSW,-33.83, 151.200,FALSE
St Leonards, NSW,-33.29, 151.470,FALSE
Lane Cove, NSW,-33.79, 151.190,FALSE
Lane Cove DC, NSW,0, 0.000,FALSE
Hornsby, NSW,-33.71, 151.100,FALSE
Hornsby Westfield, NSW,0, 0.000,FALSE
Frenchs Forest, NSW,-33.79, 151.250,FALSE
Manly, NSW,-33.33, 151.510,FALSE
Mona Vale, NSW,-33.7, 151.220,FALSE
North Ryde BC, NSW,0, 0.000,FALSE
Gladesville, NSW,-33.83, 151.140,FALSE
Ryde, NSW,-33.76, 151.140,FALSE
West Ryde, NSW,-33.8, 151.090,FALSE
Northern Suburbs MC, NSW,0, 0.000,FALSE
Ermington, NSW,-33.95, 151.210,FALSE
Rydalmere BC, NSW,0, 0.000,FALSE
Epping, NSW,-33.78, 151.120,FALSE
Pennant Hills, NSW,-33.76, 151.050,FALSE
Seven Hills, NSW,-33.76, 150.970,FALSE
Parramatta, NSW,-33.89, 151.140,FALSE
North Parramatta, NSW,-33.86, 151.020,FALSE
Baulkham Hills, NSW,-33.77, 150.970,FALSE
Castle Hill, NSW,-33.74, 151.030,FALSE
Seven Hills MC, NSW,0, 0.000,FALSE
St Marys, NSW,-33.86, 151.200,FALSE
Penrith South DC, NSW,0, 0.000,FALSE
Ashfield, NSW,-34.1, 150.780,FALSE
Burwood, NSW,-33.89, 151.100,FALSE
Silverwater, NSW,-33.82, 151.050,FALSE
Strathfield, NSW,-33.88, 151.090,FALSE
Lidcombe, NSW,0, 0.000,FALSE
Granville, NSW,-33.86, 150.950,FALSE
Auburn, NSW,-33.88, 151.020,FALSE
Guildford, NSW,-33.85, 150.970,FALSE
Wetherill Park DC, NSW,0, 0.000,FALSE
Fairfield, NSW,-33.85, 150.960,FALSE
Liverpool, NSW,-33.89, 151.100,FALSE
Moorebank, NSW,-33.95, 150.920,FALSE
Bankstown, NSW,-33.91, 151.020,FALSE
Ingleburn, NSW,-33.96, 150.800,FALSE
Milperra, NSW,-33.93, 151.000,FALSE
Leightonfield MC, NSW,0, 0.000,FALSE
Barangaroo, NSW,-33.86, 151.210,FALSE
Dawes Point, NSW,-33.86, 151.210,FALSE
Millers Point, NSW,-33.86, 151.210,FALSE
Parliament House, NSW,-33.86, 151.210,FALSE
The Rocks, NSW,-33.86, 151.210,FALSE
World Square, NSW,-35.97, 146.410,FALSE
Alexandria MC, NSW,0, 0.000,FALSE
The University Of Sydney, NSW,-33.89, 151.190,FALSE
Ultimo, NSW,-33.88, 151.200,FALSE
Chippendale, NSW,-33.89, 151.200,FALSE
Darlington, NSW,-33.89, 151.200,FALSE
Pyrmont, NSW,-33.87, 151.190,FALSE
Surry Hills, NSW,-33.88, 151.220,FALSE
Elizabeth Bay, NSW,-33.87, 151.230,FALSE
Hmas Kuttabul, NSW,-33.87, 151.230,FALSE
Rushcutters Bay, NSW,-33.87, 151.230,FALSE
Woolloomooloo, NSW,-33.87, 151.230,FALSE
Beaconsfield, NSW,-33.9, 151.200,FALSE
Redfern, NSW,-33.89, 151.200,FALSE
Zetland, NSW,-33.9, 151.210,FALSE
Eastlakes, NSW,-33.93, 151.210,FALSE
Banksmeadow, NSW,-33.96, 151.210,FALSE
Sydney Domestic Airport, NSW,-33.93, 151.190,FALSE
Sydney International Airport, NSW,-33.93, 151.190,FALSE
Centennial Park, NSW,-33.89, 151.220,FALSE
Moore Park, NSW,-33.89, 151.220,FALSE
Paddington, NSW,-33.89, 151.220,FALSE
Bondi Junction Plaza, NSW,-33.89, 151.250,FALSE
Queens Park, NSW,-33.89, 151.250,FALSE
Bellevue Hill, NSW,-33.89, 151.260,FALSE
Bronte, NSW,-33.9, 151.260,FALSE
Waverley, NSW,-33.9, 151.260,FALSE
Bondi, NSW,-33.89, 151.260,FALSE
Bondi Beach, NSW,-33.89, 151.260,FALSE
North Bondi, NSW,-33.89, 151.260,FALSE
Tamarama, NSW,-33.89, 151.260,FALSE
Darling Point, NSW,-33.87, 151.240,FALSE
Edgecliff, NSW,-33.87, 151.240,FALSE
Hmas Rushcutters, NSW,-33.87, 151.240,FALSE
Point Piper, NSW,-33.87, 151.240,FALSE
Rose Bay, NSW,-33.87, 151.280,FALSE
Dover Heights, NSW,-33.87, 151.280,FALSE
Hmas Watson, NSW,-33.87, 151.280,FALSE
Rose Bay North, NSW,-33.87, 151.280,FALSE
Vaucluse, NSW,-33.87, 151.280,FALSE
Watsons Bay, NSW,-33.87, 151.280,FALSE
Clovelly, NSW,-33.91, 151.260,FALSE
Clovelly West, NSW,-33.91, 151.260,FALSE
Randwick, NSW,-33.91, 151.260,FALSE
St Pauls, NSW,-33.91, 151.260,FALSE
Daceyville, NSW,-33.93, 151.230,FALSE
Kingsford, NSW,-33.93, 151.230,FALSE
Coogee, NSW,-33.92, 151.250,FALSE
South Coogee, NSW,-33.92, 151.250,FALSE
Maroubra, NSW,-33.95, 151.240,FALSE
Maroubra South, NSW,-33.95, 151.240,FALSE
Pagewood, NSW,-33.95, 151.240,FALSE
Chifley, NSW,-33.98, 151.240,FALSE
Eastgardens, NSW,-33.98, 151.240,FALSE
Hillsdale, NSW,-33.98, 151.240,FALSE
La Perouse, NSW,-33.98, 151.240,FALSE
Little Bay, NSW,-33.98, 151.240,FALSE
Malabar, NSW,-33.98, 151.240,FALSE
Matraville, NSW,-33.98, 151.240,FALSE
Phillip Bay, NSW,-33.98, 151.240,FALSE
Port Botany, NSW,-33.98, 151.240,FALSE
Forest Lodge, NSW,-33.88, 151.180,FALSE
Glebe, NSW,-33.88, 151.180,FALSE
Annandale, NSW,-33.88, 151.170,FALSE
Rozelle, NSW,-33.86, 151.170,FALSE
Leichhardt, NSW,-33.88, 151.160,FALSE
Lilyfield, NSW,-33.88, 151.160,FALSE
Balmain, NSW,-33.86, 151.180,FALSE
Balmain East, NSW,-33.86, 151.180,FALSE
Birchgrove, NSW,-33.86, 151.180,FALSE
Enmore, NSW,-33.9, 151.170,FALSE
Newtown, NSW,-33.9, 151.170,FALSE
Erskineville, NSW,-33.9, 151.190,FALSE
St Peters, NSW,-33.91, 151.180,FALSE
Sydenham, NSW,-33.91, 151.180,FALSE
Tempe, NSW,-33.91, 151.180,FALSE
Haberfield, NSW,-33.88, 151.140,FALSE
Abbotsford, NSW,-33.85, 151.130,FALSE
Canada Bay, NSW,-33.85, 151.130,FALSE
Chiswick, NSW,-33.85, 151.130,FALSE
Five Dock, NSW,-33.85, 151.130,FALSE
Rodd Point, NSW,-33.85, 151.130,FALSE
Russell Lea, NSW,-33.85, 151.130,FALSE
Wareemba, NSW,-33.85, 151.130,FALSE
Stanmore, NSW,-33.9, 151.170,FALSE
Westgate, NSW,-33.9, 151.170,FALSE
Lewisham, NSW,-33.89, 151.140,FALSE
Petersham, NSW,-33.89, 151.140,FALSE
Petersham North, NSW,-33.89, 151.140,FALSE
Missenden Road, NSW,-33.89, 151.180,FALSE
North Sydney, NSW,-33.8, 151.100,FALSE
Chatswood, NSW,-33.79, 151.190,FALSE
Hmas Platypus, NSW,-33.84, 151.190,FALSE
Hmas Waterhen, NSW,-33.84, 151.190,FALSE
Lavender Bay, NSW,-33.84, 151.190,FALSE
Mcmahons Point, NSW,-33.84, 151.190,FALSE
North Sydney Shoppingworld, NSW,-33.84, 151.190,FALSE
Waverton, NSW,-33.84, 151.190,FALSE
Kirribilli, NSW,-33.85, 151.210,FALSE
Cammeray, NSW,-33.82, 151.210,FALSE
Greenwich, NSW,-33.83, 151.200,FALSE
